Outflow,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
Nebraska,177,315,391,"1,247","2,356","2,815",105,53,"1,512",658,198,"5,548",273,"1,290",438,"2,352",254,252,172,228,60,517,"1,009","1,912",230,278,550,356,"39,014",52,248,302,627,479,602,611,360,402,57,221,"1,443",399,"2,754",514,687,28,792,450,42,772
New Hampshire,74,100,37,378,"1,032",381,"1,027",87,"2,168",463,99,78,60,316,214,93,101,113,"9,744",374,"2,468",302,145,182,40,83,768,26,53,"32,003",620,78,156,"1,791",383,99,146,765,417,367,36,232,759,172,682,"1,888",268,150,59,61
New Jersey,206,558,315,"1,326","6,447",918,"2,873","1,751","11,737","3,586",412,324,144,"2,685",874,403,477,494,"3,506","3,233",357,"1,441",621,770,228,124,"4,125",60,165,440,"161,047",242,790,"44,551","1,967",353,381,"19,356",646,"1,448",81,"1,010","4,079",330,"4,089",251,"1,007",630,265,73
New Mexico,594,397,479,"9,499","5,215","4,270",220,48,"1,931",850,313,327,503,980,494,732,280,385,387,515,111,695,434,743,274,381,811,161,344,151,314,"53,008","1,669",925,827,"1,157",664,641,62,388,235,532,"11,244","1,184","1,179",103,"1,274",439,105,386
Nevada,731,418,427,"6,481","28,563","2,536",312,88,"3,632","1,203","1,739",468,"1,600","2,329",795,575,355,546,578,635,95,"1,313",750,954,457,556,"1,045",203,553,126,988,"1,221","91,923","2,025","1,321",817,"2,064","1,053",117,470,277,743,"4,534","4,122","1,351",66,"3,297",752,118,497
New York,599,"1,720",731,"3,522","17,025","2,973","11,276","1,110","29,124","9,101","1,250",758,347,"6,057","2,019","1,279","1,520","1,519","10,821","5,983","1,095","3,998","1,774","2,027",704,299,"10,171",165,516,"1,429","33,418",786,"1,728","300,555","5,487","1,173","1,393","19,294","1,646","4,204",209,"2,528","10,197","1,113","9,035","1,899","3,040","1,522",551,190
Ohio,425,"1,746",829,"2,991","6,358","2,080",969,348,"11,970","4,982",587,911,425,"5,819","8,341","1,127","9,470","1,106","1,566","2,129",322,"9,400","1,300","1,972",889,230,"5,492",219,492,343,"2,223",646,"1,396","5,291","161,486","1,049",640,"8,016",228,"2,668",249,"3,991","6,874",898,"4,442",176,"1,660","1,686","4,907",263
Oklahoma,676,882,"5,645","2,405","5,640","2,860",236,115,"3,357","2,123",668,653,372,"1,603",918,"5,560",726,"1,386",313,552,82,"1,079",655,"3,869",724,281,"1,819",296,705,113,471,"1,328","1,023","1,296","1,385","74,127",616,893,78,668,248,"1,336","18,957",660,"1,462",40,"1,601",651,226,388
Oregon,"1,331",267,352,"4,396","20,794","2,303",275,75,"1,999","1,000","1,367",539,"3,786","1,461",662,635,387,374,666,542,217,"1,077",958,955,166,"1,477",960,168,403,149,481,784,"2,830","1,544","1,063",698,"76,798",931,81,335,277,671,"3,189","2,022","1,054",172,"17,128",860,102,532
Pennsylvania,360,979,629,"2,519","6,863","2,399","2,654","5,046","12,940","4,252",580,636,374,"3,372","2,060",900,"1,442",937,"3,535","11,612",621,"3,131","1,069","1,359",631,318,"6,741",193,432,793,"24,402",611,"1,401","25,446","8,288","1,179",727,"175,692",680,"2,787",217,"2,087","6,798",843,"7,958",369,"1,648","1,163","2,777",375
Rhode Island,49,40,49,236,"1,074",189,"1,686",52,"1,801",440,180,38,22,247,114,57,52,90,"5,722",311,307,163,92,73,54,15,563,12,33,328,604,32,108,"1,704",261,75,84,512,"23,959",203,9,147,490,60,759,161,227,67,25,17
South Carolina,434,"1,956",490,"1,238","3,573","1,211","1,563",430,"10,078","13,407",673,467,246,"2,142","1,499",752,"1,554",991,"1,437","2,845",369,"2,622",512,"1,055",735,181,"20,384",98,317,545,"3,357",401,617,"6,706","4,276",729,388,"4,359",359,"98,618",149,"3,135","4,419",484,"6,319",269,"1,945",793,982,139
South Dakota,191,121,126,704,"1,162","1,006",66,25,"1,018",284,92,"1,917",255,458,264,350,137,103,99,114,35,363,"2,907",486,105,414,326,"1,163","1,832",55,87,242,276,261,260,256,252,210,14,126,"20,353",227,"1,150",275,262,30,583,510,29,802
Tennessee,616,"7,073","3,318","1,963","6,020","1,689",736,207,"13,876","12,302",684,845,325,"5,489","4,117","1,231","9,880","2,262",965,"1,654",289,"4,966",949,"2,991","9,243",248,"6,860",179,453,337,"1,486",602,894,"3,426","5,127","1,373",571,"2,622",208,"3,253",176,"128,916","7,951",688,"6,514",161,"1,675","1,547",882,237
Texas,"3,446","7,745","11,666","15,863","48,419","15,839","2,623",942,"29,726","18,373","4,503","4,047","2,292","17,455","7,120","9,451","5,376","23,452","4,419","6,621",920,"10,699","5,575","10,814","6,686","1,251","14,074","1,123","3,595",975,"6,670","12,996","6,742","13,633","10,259","19,174","3,732","7,625",778,"5,396","1,208","9,134","339,560","5,113","14,369",355,"10,876","5,196","1,103","1,715"
Utah,514,392,314,"5,503","10,039","3,172",275,74,"1,765",929,731,313,"5,220",989,533,514,372,278,506,531,127,773,550,793,225,792,875,194,430,159,565,"1,031","4,599","1,006",820,495,"1,776",775,66,354,235,546,"3,342","64,623","1,138",106,"3,007",516,86,"1,811"
Virginia,"1,000","3,028",935,"3,178","14,502","3,538","2,496","1,209","17,859","9,462","2,898",743,550,"5,052","2,175","1,682","2,267","1,893","3,481","21,752",942,"3,914","1,321","2,217","1,619",353,"20,699",283,675,917,"6,755",982,"1,489","12,186","5,504","1,469",968,"9,281","1,172","5,557",301,"5,893","12,468","1,422","205,891",400,"3,706","1,445","4,346",241
Vermont,85,73,21,241,515,310,657,17,795,223,70,51,52,169,110,52,73,57,"1,516",198,466,137,94,84,28,51,408,4,26,"1,955",462,49,76,"2,057",182,46,167,441,111,137,7,143,281,83,314,"14,112",178,83,32,7
Washington,"3,386","1,184",877,"7,926","30,248","4,365","1,066",172,"6,414","3,701","3,644",949,"7,616","3,555","1,540","1,690","1,124","1,057","1,599","1,657",444,"2,597","2,004","2,166",605,"2,771","3,360",530,782,380,"1,327","1,268","4,389","3,819","2,424","1,699","19,490","2,137",303,"1,702",568,"1,816","10,628","3,819","3,805",204,"142,475","1,687",253,743
Wisconsin,298,481,544,"2,213","4,111","1,789",497,206,"3,720","1,573",279,"2,479",315,"14,931","1,969",685,636,431,586,569,151,"4,077","10,047","1,317",578,268,"1,481",351,507,118,616,387,736,"1,569","1,733",544,571,"1,268",78,571,463,"1,203","3,412",535,"1,190",71,"1,273","79,212",130,208
West Virginia,128,253,159,315,696,347,179,139,"2,300",857,103,89,67,391,496,164,"1,353",234,125,"3,535",71,503,74,278,175,66,"2,105",64,56,79,508,131,139,716,"4,981",224,93,"2,683",32,816,48,844,"1,027",158,"4,709",31,225,125,"31,302",66
Wyoming,228,185,151,979,"1,431","3,237",60,20,902,270,90,221,"1,196",361,224,312,122,209,97,115,41,632,374,379,106,"1,376",272,299,894,57,113,332,577,235,270,332,584,270,d,154,740,188,"1,340","1,866",282,55,721,258,47,"23,874"
