Outflow,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,NorthCarolina,NorthDakota,Nebraska,NewHampshire,NewJersey,NewMexico,Nevada,NewYork,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,WestVirginia,Wyoming,,
Mississippi,0.4,9.4,3.2,1,3.5,1.2,0.2,0.1,7.5,6,0.4,0.6,0.2,3.2,1.3,0.6,1.3,11.4,0.3,0.7,0.1,1.7,0.5,2,0,0.2,2.5,0.1,0.5,0.1,0.7,0.4,0.7,1.4,1.6,1.1,0.3,1,0.1,1.4,0.1,17,8.7,0.4,2.4,0,1,1.1,0.2,0.2,,
Montana,2.1,0.7,0.5,4.3,10,5.6,0.3,0.1,3,1.4,0.7,0.9,6,1.5,0.8,0.8,0.6,0.5,0.5,0.6,0.3,1.8,2.7,1.5,0.5,0,1.3,3.1,0.9,0.3,0.5,1.2,3,1.4,1.3,1.2,4.8,1.5,0.1,0.4,1.7,1.1,4.7,3.8,1.6,0.3,11.2,1.7,0.3,5.5,,
NorthCarolina,0.5,1.6,0.6,1.4,5.3,1.4,1.3,0.4,10,6.7,0.7,0.5,0.3,2.2,1.5,0.9,1.3,1,1.7,3,0.4,2.5,0.7,1.2,0.7,0.2,0,0.1,0.3,0.5,3.4,0.4,0.5,7.2,3.7,0.8,0.5,4,0.4,8.5,0.1,2.8,5.1,0.4,10.2,0.2,1.3,0.8,1,0.1,,
NorthDakota,1.3,0.6,0.5,2.6,4.2,4.2,0.2,0.1,2.8,1.1,0.5,1.4,2.6,1.5,0.8,0.9,0.4,0.9,0.3,0.5,0.1,2,26.9,1.3,0.5,6.3,1.2,0,1.1,0.1,0.4,0.9,1.4,1.1,1.1,1.3,1.2,0.9,0,0.5,5.5,0.7,5.2,2.1,0.9,0,2.9,2.7,0.2,4.4,,
Nebraska,0.5,0.8,1.1,3.3,6.3,7.5,0.3,0.1,4,1.8,0.5,14.8,0.7,3.5,1.2,6.3,0.7,0.7,0.5,0.6,0.2,1.4,2.7,5.1,0.6,0.7,1.5,1,0,0.1,0.7,0.8,1.7,1.3,1.6,1.6,1,1.1,0.2,0.6,3.9,1.1,7.4,1.4,1.8,0.1,2.1,1.2,0.1,2.1,,
NewHampshire,0.3,0.3,0.1,1.3,3.4,1.3,3.4,0.3,7.2,1.5,0.3,0.3,0.2,1.1,0.7,0.3,0.3,0.4,32.3,1.2,8.2,1,0.5,0.6,0.1,0.3,2.6,0.1,0.2,0,2.1,0.3,0.5,5.9,1.3,0.3,0.5,2.5,1.4,1.2,0.1,0.8,2.5,0.6,2.3,6.3,0.9,0.5,0.2,0.2,,
NewJersey,0.2,0.4,0.2,1,4.9,0.7,2.2,1.3,8.9,2.7,0.3,0.3,0.1,2,0.7,0.3,0.4,0.4,2.7,2.5,0.3,1.1,0.5,0.6,0.2,0.1,3.1,0.1,0.1,0.3,0,0.2,0.6,33.7,1.5,0.3,0.3,14.7,0.5,1.1,0.1,0.8,3.1,0.3,3.1,0.2,0.8,0.5,0.2,0.1,,
NewMexico,1.1,0.7,0.9,17,9.3,7.7,0.4,0.1,3.5,1.5,0.6,0.6,0.9,1.8,0.9,1.3,0.5,0.7,0.7,0.9,0.2,1.2,0.8,1.3,0.5,0.7,1.5,0.3,0.6,0.3,0.6,0,3,1.7,1.5,2.1,1.2,1.2,0.1,0.7,0.4,1,20.1,2.1,2.1,0.2,2.3,0.8,0.2,0.7,,
Nevada,0.9,0.5,0.5,7.6,33.3,3,0.4,0.1,4.2,1.4,2,0.6,1.9,2.7,0.9,0.7,0.4,0.6,0.7,0.7,0.1,1.5,0.9,1.1,0.5,0.7,1.2,0.2,0.6,0.2,1.2,1.4,0,2.4,1.5,1,2.4,1.2,0.1,0.6,0.3,0.9,5.3,4.8,1.6,0.1,3.8,0.9,0.1,0.6,,
NewYork,0.3,0.8,0.3,1.5,7.4,1.3,4.9,0.5,12.7,4,0.5,0.3,0.2,2.6,0.9,0.6,0.7,0.7,4.7,2.6,0.5,1.7,0.8,0.9,0.3,0.1,4.4,0.1,0.2,0.6,14.5,0.3,0.8,0,2.4,0.5,0.6,8.4,0.7,1.8,0.1,1.1,4.4,0.5,3.9,0.8,1.3,0.7,0.2,0.1,,
Ohio,0.3,1.3,0.6,2.3,4.8,1.6,0.7,0.3,9.1,3.8,0.4,0.7,0.3,4.4,6.3,0.9,7.2,0.8,1.2,1.6,0.2,7.1,1,1.5,0.7,0.2,4.2,0.2,0.4,0.3,1.7,0.5,1.1,4,0,0.8,0.5,6.1,0.2,2,0.2,3,5.2,0.7,3.4,0.1,1.3,1.3,3.7,0.2,,
Oklahoma,0.9,1.1,7.1,3,7.1,3.6,0.3,0.1,4.2,2.7,0.8,0.8,0.5,2,1.2,7,0.9,1.7,0.4,0.7,0.1,1.4,0.8,4.9,0.9,0.4,2.3,0.4,0.9,0.1,0.6,1.7,1.3,1.6,1.7,0,0.8,1.1,0.1,0.8,0.3,1.7,23.8,0.8,1.8,0.1,2,0.8,0.3,0.5,,
Oregon,1.6,0.3,0.4,5.2,24.6,2.7,0.3,0.1,2.4,1.2,1.6,0.6,4.5,1.7,0.8,0.8,0.5,0.4,0.8,0.6,0.3,1.3,1.1,1.1,0.2,1.8,1.1,0.2,0.5,0.2,0.6,0.9,3.4,1.8,1.3,0.8,0,1.1,0.1,0.4,0.3,0.8,3.8,2.4,1.3,0.2,20.3,1,0.1,0.6,,
Pennsylvania,0.2,0.6,0.4,1.5,4.1,1.4,1.6,3,7.7,2.5,0.3,0.4,0.2,2,1.2,0.5,0.9,0.6,2.1,6.9,0.4,1.9,0.6,0.8,0.4,0.2,4,0.1,0.3,0.5,14.4,0.4,0.8,15.1,4.9,0.7,0.4,0,0.4,1.7,0.1,1.2,4,0.5,4.7,0.2,1,0.7,1.6,0.2,,
RhodeIsland,0.3,0.2,0.3,1.2,5.5,1,8.6,0.3,9.2,2.2,0.9,0.2,0.1,1.3,0.6,0.3,0.3,0.5,29.1,1.6,1.6,0.8,0.5,0.4,0.3,0.1,2.9,0.1,0.2,1.7,3.1,0.2,0.6,8.7,1.3,0.4,0.4,2.6,0,1,0.1,0.8,2.5,0.3,3.9,0.8,1.2,0.3,0.1,0.1,,
SouthCarolina,0.4,1.7,0.4,1.1,3.1,1.1,1.4,0.4,8.9,11.8,0.6,0.4,0.2,1.9,1.3,0.7,1.4,0.9,1.3,2.5,0.3,2.3,0.5,0.9,0.7,0.2,17.9,0.1,0.3,0.5,3,0.4,0.5,5.9,3.8,0.6,0.3,3.8,0.3,0,0.1,2.8,3.9,0.4,5.6,0.2,1.7,0.7,0.9,0.1,,
SouthDakota,0.9,0.6,0.6,3.2,5.3,4.6,0.3,0.1,4.6,1.3,0.4,8.7,1.2,2.1,1.2,1.6,0.6,0.5,0.5,0.5,0.2,1.7,13.2,2.2,0.5,1.9,1.5,5.3,8.3,0.3,0.4,1.1,1.3,1.2,1.2,1.2,1.1,1,0.1,0.6,0,1,5.2,1.3,1.2,0.1,2.7,2.3,0.1,3.6,,
Tennessee,0.4,5,2.4,1.4,4.3,1.2,0.5,0.2,9.8,8.7,0.5,0.6,0.2,3.9,2.9,0.9,7,1.6,0.7,1.2,0.2,3.5,0.7,2.1,6.6,0.2,4.9,0.1,0.3,0.2,1.1,0.4,0.6,2.4,3.6,1,0.4,1.9,0.2,2.3,0.1,0,5.6,0.5,4.6,0.1,1.2,1.1,0.6,0.2,,
Texas,0.8,1.8,2.7,3.7,11.2,3.7,0.6,0.2,6.9,4.3,1,0.9,0.5,4.1,1.7,2.2,1.3,5.4,1,1.5,0.2,2.5,1.3,2.5,1.6,0.3,3.3,0.3,0.8,0.2,1.6,3,1.6,3.2,2.4,4.5,0.9,1.8,0.2,1.3,0.3,2.1,0,1.2,3.3,0.1,2.5,1.2,0.3,0.4,,
Utah,0.9,0.7,0.5,9.2,16.7,5.3,0.5,0.1,2.9,1.5,1.2,0.5,8.7,1.6,0.9,0.9,0.6,0.5,0.8,0.9,0.2,1.3,0.9,1.3,0.4,1.3,1.5,0.3,0.7,0.3,0.9,1.7,7.7,1.7,1.4,0.8,3,1.3,0.1,0.6,0.4,0.9,5.6,0,1.9,0.2,5,0.9,0.1,3,,
Virginia,0.5,1.5,0.5,1.5,7,1.7,1.2,0.6,8.6,4.5,1.4,0.4,0.3,2.4,1.1,0.8,1.1,0.9,1.7,10.5,0.5,1.9,0.6,1.1,0.8,0.2,9.9,0.1,0.3,0.4,3.2,0.5,0.7,5.9,2.6,0.7,0.5,4.5,0.6,2.7,0.2,2.8,6,0.7,0,0.2,1.8,0.7,2.1,0.1,,
Vermont,0.6,0.6,0.2,1.8,3.9,2.3,4.9,0.1,5.9,1.7,0.5,0.4,0.4,1.3,0.8,0.4,0.6,0.4,11.3,1.5,3.5,1,0.7,0.6,0.2,0.4,3.1,0,0.2,14.6,3.5,0.4,0.6,15.4,1.4,0.3,1.3,3.3,0.8,1,0.1,1.1,2.1,0.6,2.3,0,1.3,0.6,0.2,0.1,,
Washington,2.1,0.7,0.5,4.9,18.7,2.7,0.7,0.1,4,2.3,2.3,0.6,4.7,2.2,1,1.1,0.7,0.7,1,1,0.3,1.6,1.2,1.3,0.4,1.7,2.1,0.3,0.5,0.2,0.8,0.8,2.7,2.4,1.5,1.1,12.1,1.3,0.2,1.1,0.4,1.1,6.6,2.4,2.4,0.1,0,1.1,0.2,0.5,,18.7
Wisconsin,0.4,0.7,0.7,3,5.6,2.4,0.7,0.3,5,2.1,0.4,3.4,0.4,20.2,2.7,0.9,0.9,0.6,0.8,0.8,0.2,5.5,13.6,1.8,0.8,0.4,2,0.5,0.7,0.2,0.8,0.5,1,2.1,2.4,0.7,0.8,1.7,0.1,0.8,0.6,1.6,4.6,0.7,1.6,0.1,1.7,0,0.2,0.3,,
WestVirginia,0.4,0.8,0.5,1,2.1,1.1,0.5,0.4,7,2.6,0.3,0.3,0.2,1.2,1.5,0.5,4.1,0.7,0.4,10.7,0.2,1.5,0.2,0.8,0.5,0.2,6.4,0.2,0.2,0.2,1.5,0.4,0.4,2.2,15.1,0.7,0.3,8.1,0.1,2.5,0.2,2.6,3.1,0.5,14.3,0.1,0.7,0.4,0,0.2,,
Wyoming,1,0.8,0.7,4.2,6.2,14,0.3,0.1,3.9,1.2,0.4,1,5.2,1.6,1,1.4,0.5,0.9,0.4,0.5,0.2,2.7,1.6,1.6,0.5,5.9,1.2,1.3,3.9,0.3,0.5,1.4,2.5,1,1.2,1.4,2.5,1.2,0,0.7,3.2,0.8,5.8,8,1.2,0.2,3.1,1.1,0.2,0,,
