Outflow,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,NorthCarolina,NorthDakota,Nebraska,NewHampshire,NewJersey,NewMexico,Nevada,NewYork,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,WestVirginia,Wyoming
Nebraska,0.47341393,0.842516315,1.045790093,3.335294747,6.301487108,7.529153739,0.280838772,0.141756713,4.044078314,1.75992297,0.529581684,14.83898577,0.730180807,3.450304911,1.171498877,6.290788488,0.679362362,0.674013052,0.460040655,0.609821333,0.160479298,1.382796619,2.698726864,5.113940302,0.615170643,0.743554082,1.471060233,0.952177169,0,0.139082058,0.663314432,0.807745801,1.677008666,1.28115973,1.610142292,1.634214186,0.962875789,1.075211298,0.152455333,0.591098748,3.859527121,1.067187333,7.365999786,1.374772654,1.837487964,0.074890339,2.118326736,1.203594736,0.112335509,2.064833636
NewHampshire,0.245561639,0.331840053,0.12278082,1.254355401,3.424589348,1.264310602,3.407997345,0.288700846,7.194292351,1.536419446,0.328521653,0.258835241,0.199104032,1.048614568,0.710137714,0.308611249,0.335158454,0.37497926,32.33449477,1.241081799,8.18981251,1.00215696,0.481168077,0.603948897,0.132736021,0.275427244,2.548531608,0.086278414,0.175875228,0,2.057408329,0.258835241,0.517670483,5.943255351,1.270947403,0.328521653,0.484486478,2.538576406,1.383773021,1.217852995,0.119462419,0.769868923,2.518666003,0.570764891,2.263149162,6.265140202,0.889331342,0.49776008,0.195785631,0.202422432
NewJersey,0.155884645,0.422250641,0.238367298,1.003412814,4.878584023,0.69467041,2.174061098,1.325019486,8.881641178,2.713603584,0.311769291,0.245177792,0.108967907,2.031797441,0.66137466,0.304958797,0.360956193,0.37382046,2.653065857,2.446480866,0.270149604,1.090435796,0.469924101,0.582675616,0.17253252,0.093833476,3.121476515,0.045403295,0.124859061,0.332957495,0,0.183126622,0.597810048,33.71270309,1.488471347,0.267122718,0.288310922,14.64710289,0.48884214,1.095732847,0.061294448,0.764288795,3.086667322,0.249718121,3.094234538,0.189937116,0.76201863,0.476734595,0.200531219,0.055240675
NewMexico,1.06352503,0.710807133,0.85762372,17.00744826,9.337176824,7.645205185,0.393898159,0.085941417,3.457351572,1.521879252,0.560409654,0.585475901,0.900594428,1.754637256,0.884480413,1.310606603,0.50132493,0.689321779,0.692902671,0.922079782,0.198739526,1.244360095,0.777053642,1.330301511,0.490582253,0.682159994,1.452051851,0.288261835,0.615913486,0.270357373,0.5622001,0,2.988254673,1.656162716,1.48069899,2.071546229,1.188856263,1.147676001,0.111007663,0.694693118,0.420754852,0.952517367,20.13177684,2.119888276,2.110936045,0.184415956,2.281028432,0.786005873,0.187996849,0.691112225
Nevada,0.851029152,0.486635,0.497112788,7.545170904,33.25300363,2.952407563,0.363229953,0.102449474,4.228369191,1.400530875,2.024541306,0.544844929,1.862717705,2.71141846,0.92553786,0.669414175,0.413290491,0.635652417,0.672906771,0.739266089,0.110598864,1.528592717,0.873148924,1.110645432,0.532038745,0.647294403,1.216587501,0.236332309,0.643801807,0.146689019,1.150228183,1.421486449,0,2.357502096,1.537906305,0.951150228,2.40290584,1.22590109,0.136211232,0.547173326,0.322483003,0.864999534,5.278476297,4.798826488,1.572832262,0.076837105,3.838362671,0.875477321,0.137375431,0.578606687
NewYork,0.260067296,0.746770867,0.317377619,1.529143601,7.391729078,1.290784761,4.895690872,0.481927711,12.64474113,3.95137306,0.542711386,0.329100185,0.150656681,2.629762292,0.876587431,0.55530229,0.659937045,0.659502876,4.698143927,2.597633778,0.475415174,1.735808097,0.770215999,0.880060784,0.305655053,0.129816564,4.415934006,0.071637903,0.22403126,0.620427657,14.50906328,0.34125692,0.75024422,0,2.3822859,0.509280365,0.604797569,8.376858786,0.714642353,1.825246934,0.090741344,1.097579507,4.427222403,0.483230218,3.922717899,0.824487138,1.319874091,0.660805384,0.239227179,0.082492131
Ohio,0.321626142,1.321315867,0.627360168,2.263491271,4.811527081,1.574076176,0.733307603,0.263355053,9.058505687,3.770215149,0.444222459,0.689415094,0.321626142,4.403629456,6.31219682,0.852876851,7.166587206,0.836984736,1.185097737,1.611157778,0.2436791,7.113613489,0.98379761,1.492345298,0.672766212,0.1740565,4.156166519,0.165732059,0.372329557,0.259571216,1.682293913,0.488871735,1.05644728,4.004056273,0,0.793848995,0.484331131,6.066247418,0.172542965,2.019055403,0.188435081,3.020258663,5.202019055,0.679577118,3.361560757,0.133191061,1.256233871,1.275909824,3.713457595,0.199029824
Oklahoma,0.848819689,1.107483677,7.08814666,3.019839277,7.081868408,3.591160221,0.296333501,0.144399799,4.215218483,2.665745856,0.838774485,0.819939729,0.467101959,2.012807634,1.152687092,6.981416374,0.91160221,1.740331492,0.393018584,0.693119036,0.102963335,1.354846811,0.82245103,4.858111502,0.909090909,0.35283777,2.284028127,0.371672526,0.885233551,0.141888498,0.591411351,1.667503767,1.284530387,1.627322953,1.739075841,0,0.773480663,1.121295831,0.097940733,0.838774485,0.311401306,1.67754897,23.80336514,0.828729282,1.835760924,0.050226017,2.010296334,0.817428428,0.283776996,0.487192366
Oregon,1.575241139,0.315995029,0.416592698,5.202674714,24.60974022,2.725605065,0.325463045,0.088762649,2.365820463,1.183501982,1.61784721,0.637907568,4.480738505,1.729096396,0.783478312,0.751523759,0.458015267,0.442629741,0.78821232,0.641458074,0.25681993,1.274631635,1.133794899,1.130244393,0.196461329,1.748032428,1.136161903,0.198828333,0.476951299,0.176341795,0.569264454,0.927865554,3.34931061,1.827327061,1.258062607,0.826084384,0,1.101840346,0.095863661,0.396473164,0.327830049,0.79412983,3.774187822,2.393041008,1.247411089,0.203562341,20.27102195,1.017811705,0.120717202,0.629623055
Pennsylvania,0.212850242,0.578834408,0.371896673,1.489360444,4.057753366,1.418410363,1.569179285,2.983450894,7.650783703,2.51399786,0.34292539,0.376035428,0.221127752,1.993697268,1.217976385,0.532125605,0.85258347,0.55400188,2.090071127,6.86560281,0.367166668,1.851205856,0.632046969,0.803509664,0.373079174,0.188017714,3.985620784,0.11411138,0.255420291,0.468861783,14.42769891,0.361254161,0.828342192,15.04496461,4.900285574,0.697084543,0.429839239,0,0.402050457,1.647815624,0.128301396,1.233940154,4.019322072,0.498424317,4.705172852,0.218171498,0.974381108,0.687624532,1.641903118,0.221719002
