Outflow,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,NorthCarolina,NorthDakota,Nebraska,NewHampshire,NewJersey,NewMexico,Nevada,NewYork,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,WestVirginia,Wyoming
Oklahoma,2,1,8.7,1.1,1.1,1.9,0.4,0.4,0.8,0.8,1.4,1.1,0.8,0.9,0.8,6.4,1,1.8,0.3,0.5,0.6,0.8,0.8,3.2,1.1,1.2,0.8,1.3,1.6,0.3,0.3,2.1,1,0.5,0.8,0,0.8,0.7,0.4,0.6,1.2,1,4.5,0.8,0.7,0.3,1.1,0.7,0.7,1.4
Oregon,4.7,0.4,0.6,2.5,3.9,1.6,0.4,0.2,0.5,0.3,2.5,0.8,8.9,0.6,0.6,0.7,0.4,0.5,0.6,0.4,0.8,0.7,1.2,0.8,0.3,4.8,0.5,1.2,1,0.5,0.3,1.2,2.4,0.6,0.5,0.8,0,0.4,0.4,0.3,1.1,0.4,0.9,3,0.5,1.3,12.1,0.8,0.3,2.5
Pennsylvania,1.4,1.2,1,1.9,2.2,1.9,3.6,24.8,4.5,2.4,1.3,1.3,0.8,2,1.9,1.2,1.8,1.3,4.1,9.7,3.6,2.2,1.6,1.3,1,1.5,4,0.9,1.1,2.5,14.7,1.2,1.2,8.4,6.1,1.1,1.1,0,2.6,3.8,1,1.9,1.8,1.3,4.5,3.3,1.3,1.7,8.1,1.2
RhodeIsland,0.1,0.1,0.1,0.2,0.3,0.2,2.8,0.3,0.8,0.2,0.4,0.1,0,0.2,0.1,0,0.1,0.1,6.8,0.4,1.8,0.1,0.2,0.1,0.1,0.1,0.4,0,0.2,1.4,0.5,0.1,0.1,0.7,0.2,0.1,0.1,0.4,0,0.3,0.1,0.2,0.2,0.1,0.6,0.8,0.2,0.1,0.1,0
SouthCarolina,1.4,2.1,0.9,0.7,0.9,0.8,1.4,1.1,2.3,5.8,1.7,0.7,0.4,0.8,1.2,1,1.7,1.3,1,1.6,1.4,1.5,0.7,0.8,1.4,0.4,8.5,0.5,0.6,1.2,1.1,0.7,0.6,1.8,2,0.8,0.4,1.7,1,0,0.6,2.3,1.3,0.6,2.7,1,1.1,0.8,2.5,0.7
SouthDakota,0.6,0.2,0.2,0.6,0.2,0.8,0.1,0.1,0.1,0.1,0.1,2.8,0.4,0.3,0.2,0.5,0.1,0.1,0.1,0.1,0.1,0.2,3.6,0.5,0.1,1.7,0.1,5.5,3.9,0.1,0.1,0.4,0.3,0.1,0.2,0.3,0.3,0.1,0.1,0.1,0,0.1,0.3,0.4,0.2,0.1,0.4,0.6,0.2,3.2
Tennessee,1.5,7.5,5.8,1,1.3,1.4,0.8,0.7,2.9,5.2,1.3,1.4,0.7,2.3,3.3,1.4,10.8,2.9,0.9,1.4,1.1,3.7,1.2,2.5,17,1.1,2.8,0.7,1.1,0.8,0.8,1,0.9,1.1,3,1.7,0.8,1.2,0.8,2.8,1,0,2.1,0.9,2.8,1.1,1.1,1.6,2.6,0.8
Texas,8.5,6.7,17.8,7,9.1,10,2.9,2.6,5.7,6.3,8.4,5.5,4,6.1,4.9,10.2,5.6,25.2,3.3,4.8,3.5,6,5.4,7.5,8.7,4.7,5.1,5.2,7.4,2.5,3.1,20.1,5.3,4.4,5.2,23.8,3.8,4,2.5,3.9,5.2,5.6,0,5.6,6,2.1,6.6,4.6,3.1,5.8
Utah,2.1,0.5,0.7,3.4,2.5,2.4,0.5,0.3,0.5,0.4,1.4,0.9,10.6,0.6,0.6,0.7,0.5,0.4,0.5,0.5,0.5,0.6,0.9,0.9,0.4,3.8,0.4,2.1,1.4,0.6,0.3,2.1,4.8,0.5,0.7,0.8,2.4,0.5,0.3,0.4,1.3,0.5,1.2,0,0.7,0.6,2.4,0.7,0.5,8
Virginia,3,3.4,1.6,1.6,3.4,2.7,3.2,4.7,4.4,4,5.4,1.5,1.4,2.5,1.9,2.3,4.3,2.6,2.9,17,3.2,2.7,1.8,2.1,2.4,1.6,10.2,0.9,1.8,2.3,3.1,2.1,1.6,3.9,3.4,1.8,1.3,4.7,3.9,5.6,1.2,4.6,3.3,1.9,0,2.3,2.4,1.6,14.3,1.2
Vermont,0.3,0.1,0.1,0.2,0.2,0.2,0.8,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.6,0.2,2.3,0.2,0.2,0.1,0,0.3,0.2,0,0.1,6.3,0.2,0.2,0.1,0.8,0.1,0.1,0.2,0.2,0.8,0.2,0.1,0.1,0.1,0.2,0.2,0,0.1,0.1,0.1,0.2
Washington,9.1,1.2,1.2,5,6.5,3,1.4,0.4,1.3,1.5,7.8,1.5,16.8,1.7,1.2,2,1.2,1.4,1.3,1.5,1.4,1.6,2.2,1.7,1,11.2,1.3,2.9,2.1,0.9,0.8,2.3,3.8,1.3,1.3,2,20.3,1,1.2,1.7,2.7,1.2,2.5,5,1.8,1.3,0,1.7,0.7,3.1
Wisconsin,1.4,0.6,1.2,1.8,1.1,1.6,0.6,0.6,1.3,0.9,0.7,4.6,0.6,6.8,2,1,0.9,0.6,0.7,0.6,0.7,3.4,14.5,1.7,1.1,1.7,0.8,2.7,1.2,0.5,0.5,0.8,0.9,0.7,1.3,0.8,1,0.7,0.3,0.7,2.3,1.1,1.2,0.9,0.7,0.6,1.1,0,0.4,1.1
WestVirginia,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.6,0.6,0.3,0.2,0.1,0.1,0.2,0.5,0.2,1.8,0.2,0.2,2.3,0.2,0.4,0.2,0.2,0.2,0.3,1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,3.7,0.3,0.1,1.6,0.1,0.9,0.1,0.6,0.3,0.1,2.1,0.2,0.2,0.2,0,0.2
Wyoming,0.7,0.2,0.4,0.7,0.3,2.3,0.1,0.1,0.2,0.1,0.2,0.5,2.3,0.2,0.2,0.5,0.2,0.3,0.1,0.1,0.2,0.5,0.4,0.4,0.2,5.5,0.1,4.4,2.1,0.2,0.1,0.7,0.6,0.1,0.2,0.5,0.6,0.2,0.1,0.1,3.6,0.2,0.4,3,0.1,0.1,0.5,0.3,0.2,0
