Outflow,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,NorthCarolina,NorthDakota,Nebraska,NewHampshire,NewJersey,NewMexico,Nevada,NewYork,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,WestVirginia,Wyoming,,,
Oregon,1331,267,352,4396,20794,2303,275,75,1999,1000,1367,539,3786,1461,662,635,387,374,666,542,217,1077,958,955,166,1477,960,168,403,149,481,784,2830,1544,1063,698,0,931,81,335,277,671,3189,2022,1054,172,17128,860,102,532,,,84495
Pennsylvania,360,979,629,2519,6863,2399,2654,5046,12940,4252,580,636,374,3372,2060,900,1442,937,3535,11612,621,3131,1069,1359,631,318,6741,193,432,793,24402,611,1401,25446,8288,1179,727,0,680,2787,217,2087,6798,843,7958,369,1648,1163,2777,375,,,169133
RhodeIsland,49,40,49,236,1074,189,1686,52,1801,440,180,38,22,247,114,57,52,90,5722,311,307,163,92,73,54,15,563,12,33,328,604,32,108,1704,261,75,84,512,0,203,9,147,490,60,759,161,227,67,25,17,,,19634
SouthCarolina,434,1956,490,1238,3573,1211,1563,430,10078,13407,673,467,246,2142,1499,752,1554,991,1437,2845,369,2622,512,1055,735,181,20384,98,317,545,3357,401,617,6706,4276,729,388,4359,359,0,149,3135,4419,484,6319,269,1945,793,982,139,,,113630
SouthDakota,191,121,126,704,1162,1006,66,25,1018,284,92,1917,255,458,264,350,137,103,99,114,35,363,2907,486,105,414,326,1163,1832,55,87,242,276,261,260,256,252,210,14,126,0,227,1150,275,262,30,583,510,29,802,,,22030
Tennessee,616,7073,3318,1963,6020,1689,736,207,13876,12302,684,845,325,5489,4117,1231,9880,2262,965,1654,289,4966,949,2991,9243,248,6860,179,453,337,1486,602,894,3426,5127,1373,571,2622,208,3253,176,0,7951,688,6514,161,1675,1547,882,237,,,141160
Texas,3446,7745,11666,15863,48419,15839,2623,942,29726,18373,4503,4047,2292,17455,7120,9451,5376,23452,4419,6621,920,10699,5575,10814,6686,1251,14074,1123,3595,975,6670,12996,6742,13633,10259,19174,3732,7625,778,5396,1208,9134,0,5113,14369,355,10876,5196,1103,1715,,,431164
Utah,514,392,314,5503,10039,3172,275,74,1765,929,731,313,5220,989,533,514,372,278,506,531,127,773,550,793,225,792,875,194,430,159,565,1031,4599,1006,820,495,1776,775,66,354,235,546,3342,0,1138,106,3007,516,86,1811,,,60156
Virginia,1000,3028,935,3178,14502,3538,2496,1209,17859,9462,2898,743,550,5052,2175,1682,2267,1893,3481,21752,942,3914,1321,2217,1619,353,20699,283,675,917,6755,982,1489,12186,5504,1469,968,9281,1172,5557,301,5893,12468,1422,0,400,3706,1445,4346,241,,,208225
Vermont,85,73,21,241,515,310,657,17,795,223,70,51,52,169,110,52,73,57,1516,198,466,137,94,84,28,51,408,4,26,1955,462,49,76,2057,182,46,167,441,111,137,7,143,281,83,314,0,178,83,32,7,,,13394
Washington,3386,1184,877,7926,30248,4365,1066,172,6414,3701,3644,949,7616,3555,1540,1690,1124,1057,1599,1657,444,2597,2004,2166,605,2771,3360,530,782,380,1327,1268,4389,3819,2424,1699,19490,2137,303,1702,568,1816,10628,3819,3805,204,0,1687,253,743,,,161490
Wisconsin,298,481,544,2213,4111,1789,497,206,3720,1573,279,2479,315,14931,1969,685,636,431,586,569,151,4077,10047,1317,578,268,1481,351,507,118,616,387,736,1569,1733,544,571,1268,78,571,463,1203,3412,535,1190,71,1273,0,130,208,,,73765
WestVirginia,128,253,159,315,696,347,179,139,2300,857,103,89,67,391,496,164,1353,234,125,3535,71,503,74,278,175,66,2105,64,56,79,508,131,139,716,4981,224,93,2683,32,816,48,844,1027,158,4709,31,225,125,0,66,,,32957
Wyoming,228,185,151,979,1431,3237,60,20,902,270,90,221,1196,361,224,312,122,209,97,115,41,632,374,379,106,1376,272,299,894,57,113,332,577,235,270,332,584,270,0,154,740,188,1340,1866,282,55,721,258,47,0,,,23204
